Id,Label,modularity_class,degree
1455,1455,17,2
1456,1456,13,1
1457,1457,22,2
1458,1458,18,1
1459,1459,23,2
1460,1460,3,1
1461,1461,16,1
1462,1462,19,1
1463,1463,21,3
1464,1464,6,2
1465,1465,24,2
1466,1466,7,2
1468,1468,25,1
1469,1469,11,15
1471,1471,21,1
1472,1472,3,1
1473,1473,6,1
1476,1476,11,1
1477,1477,9,1
1478,1478,21,1
1479,1479,5,1
1480,1480,18,1
1483,1483,3,2
1484,1484,11,1
1486,1486,1,23
1488,1488,7,1
1489,1489,14,2
1490,1490,23,25
1492,1492,3,2
1493,1493,19,1
1495,1495,23,2
1497,1497,6,2
1498,1498,25,1
1500,1500,19,3
1501,1501,21,1
1502,1502,17,1
1503,1503,4,2
1504,1504,1,1
1505,1505,13,2
1506,1506,3,16
1507,1507,22,2
1508,1508,11,1
1510,1510,15,1
1512,1512,16,12
1513,1513,10,1
1515,1515,3,3
1516,1516,11,2
1518,1518,15,3
1519,1519,11,3
1522,1522,0,11
1523,1523,6,1
1524,1524,12,2
1525,1525,7,3
1528,1528,25,1
1530,1530,12,3
1531,1531,13,2
1532,1532,4,1
1533,1533,9,1
1535,1535,5,3
1537,1537,13,1
1538,1538,17,1
1539,1539,7,2
1540,1540,4,1
1544,1544,20,1
1547,1547,3,2
1549,1549,17,1
1550,1550,14,2
1551,1551,10,1
1552,1552,4,2
1555,1555,17,1
1556,1556,1,10
1557,1557,24,3
1558,1558,16,5
1560,1560,25,7
1561,1561,21,1
1563,1563,6,1
1565,1565,22,1
1566,1566,24,1
1567,1567,12,1
1569,1569,13,2
1571,1571,22,2
1573,1573,11,1
1574,1574,11,2
1575,1575,23,2
1576,1576,12,1
1579,1579,0,1
1580,1580,5,17
1581,1581,24,1
1582,1582,24,1
1583,1583,1,1
1584,1584,16,2
1585,1585,12,2
1587,1587,1,2
1588,1588,7,1
1589,1589,22,1
1590,1590,12,7
1591,1591,1,1
1592,1592,1,3
1593,1593,17,3
1594,1594,15,1
1595,1595,12,2
1596,1596,2,1
1597,1597,23,17
1601,1601,21,2
1602,1602,1,3
1603,1603,1,2
1607,1607,7,2
1608,1608,22,1
1612,1612,24,1
1613,1613,4,21
1614,1614,15,3
1615,1615,14,5
1617,1617,11,2
1618,1618,20,1
